"Source:","G:\Utbildning\Kurskatalog\4.04. Styr och Reglerteknik\7 Övningar\Laborationer\Goobylåda\Goobylåda PLC\Goobylåda - Kretskort.kicad_sch"
"Date:","2022-08-26 13:30:34"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","99"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","A1","Arduino_UNO_R3","MCU_Module:Arduino_UNO_R3","Module:Arduino_UNO_R3","https://www.arduino.cc/en/Main/arduinoBoardUno"
"","","C1","33uF","Goobylåda---Kretskort-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C2","33uF","Goobylåda---Kretskort-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C3","33uF","Goobylåda---Kretskort-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C4","0.33uF","Goobylåda---Kretskort-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C5","0.1uF","Goobylåda---Kretskort-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","D1","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D2","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D3","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D4","600V 1A","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"","","D5","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D6","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D7","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D8","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D9","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D10","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D11","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"","","D12","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D13","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D14","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D15","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D16","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D17","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D18","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D19","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D20","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","D21","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"","","J1","LCD 1602 kontakt","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J2","Anslutning","Connector_Generic:Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
